Температура:8,9, Скорость ветра:0, Направление ветра:229, Сервис:Weatherbit
Температура:7,8, Скорость ветра:0, Направление ветра:146, Сервис:Weatherbit
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:7,8, Скорость ветра:0, Направление ветра:146, Сервис:Weatherbit
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:281,15, Скорость ветра:2, Направление ветра:280, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:281,15, Скорость ветра:2, Направление ветра:280, Сервис:OpenWeatherMap
Температура:281,15, Скорость ветра:2, Направление ветра:280, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:279,84, Скорость ветра:4, Направление ветра:270, Сервис:OpenWeatherMap
Температура:290,69, Скорость ветра:1,38, Направление ветра:201, Сервис:OpenWeatherMap
Температура:290,69, Скорость ветра:1,38, Направление ветра:201, Сервис:OpenWeatherMap
Температура:290,69, Скорость ветра:1,38, Направление ветра:201, Сервис:OpenWeatherMap
Температура:290,69, Скорость ветра:1,38, Направление ветра:201, Сервис:OpenWeatherMap
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:283,54, Скорость ветра:1,75, Направление ветра:274, Сервис:Weatherbit
Температура:284,33, Скорость ветра:4, Направление ветра:300, Сервис:Weatherbit
Температура:283,54, Скорость ветра:1,75, Направление ветра:274, Сервис:Weatherbit
Температура:284,33, Скорость ветра:4, Направление ветра:300, Сервис:Weatherbit
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:283,1, Скорость ветра:3,1, Направление ветра:250, Сервис:Weatherbit
Температура:283,1, Скорость ветра:3,1, Направление ветра:250, Сервис:Weatherbit
Температура:283,1, Скорость ветра:3,1, Направление ветра:250, Сервис:Weatherbit
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:14, Скорость ветра:7, Направление ветра:280, Сервис:Weatherbit
Температура:14, Скорость ветра:7, Направление ветра:280, Сервис:Weatherbit
Температура:14, Скорость ветра:7, Направление ветра:280, Сервис:Weatherbit
Температура:283,1, Скорость ветра:3,1, Направление ветра:250, Сервис:Weatherbit
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:14, Скорость ветра:7, Направление ветра:280, Сервис:WorldWeatherOnline
Температура:15, Скорость ветра:0, Направление ветра:250, Сервис:Weatherbit
Температура:9,95, Скорость ветра:3,1, Направление ветра:250, Сервис:OpenWeatherMap
Температура:9,95, Скорость ветра:3,1, Направление ветра:250, Сервис:OpenWeatherMap
Температура:9,95, Скорость ветра:3,1, Направление ветра:250, Сервис:OpenWeatherMap
Температура:11, Скорость ветра:19, Направление ветра:290, Сервис:WorldWeatherOnline
Температура:11, Скорость ветра:19, Направление ветра:290, Сервис:WorldWeatherOnline
Температура:11, Скорость ветра:19, Направление ветра:290, Сервис:WorldWeatherOnline
Температура:11, Скорость ветра:19, Направление ветра:290, Сервис:WorldWeatherOnline
Температура:12,8, Скорость ветра:0, Направление ветра:174, Сервис:Weatherbit
Температура:12,8, Скорость ветра:0, Направление ветра:174, Сервис:Weatherbit
Температура:11, Скорость ветра:0, Направление ветра:310, Сервис:Weatherbit
